medal,beer,brewery,city,state,style,year,coords,lat,lng,comp
Bronze,"Côte d'Or - Double Cerise","Rowley Farmhouse Ales","Santa Fe",NM,"Mixed-Culture Brett Beer",2019,"-105.9819 35.6619",35.6619,-105.9819,GABF
Gold,"Altstadt Lager","Altstadt Brewery",Fredericksburg,TX,"Munich-Style Helles",2019,"-98.8757 30.2671",30.2671,-98.8757,GABF
Silver,"Florida Sunshine","Crooked Can Brewing Co.","Winter Garden",FL,"Munich-Style Helles",2019,"-81.5966 28.5421",28.5421,-81.5966,GABF
Bronze,"Wayfinder Hell","Wayfinder Beer",Portland,OR,"Munich-Style Helles",2019,"-122.65 45.5371",45.5371,-122.65,GABF
Gold,"Enough Said N/A","Two Roots Brewing Co.","San Diego",CA,"Non-Alcohol Beer or Alcohol-Free Beer",2019,"-117.1225 32.8312",32.8312,-117.1225,GABF
Silver,"Bravus Oatmeal Stout","Bravus Brewing Co.","Newport Beach",CA,"Non-Alcohol Beer or Alcohol-Free Beer",2019,"-117.8669 33.6151",33.6151,-117.8669,GABF
Bronze,"Bravus Barrel-Aged Bourbon Stout","Bravus Brewing Co.","Newport Beach",CA,"Non-Alcohol Beer or Alcohol-Free Beer",2019,"-117.8669 33.6151",33.6151,-117.8669,GABF
Gold,"80 Chain Stout","MAP Brewing Co.",Bozeman,MT,"Oatmeal Stout",2019,"-111.0549 45.6828",45.6828,-111.0549,GABF
Silver,"Yonder Mountain Stout","Vine Street Pub & Brewery",Denver,CO,"Oatmeal Stout",2019,"-104.8759 39.7621",39.7621,-104.8759,GABF
Bronze,"Shaman Stout","Toltec Brewing Co.",Albuquerque,NM,"Oatmeal Stout",2019,"-106.6464 35.1053",35.1053,-106.6464,GABF
Gold,"Private Stock Ale","AleSmith Brewing Co.","San Diego",CA,"Old Ale or Strong Ale",2019,"-117.1225 32.8312",32.8312,-117.1225,GABF
Silver,"Old Scrooge","Silver City Brewery",Bremerton,WA,"Old Ale or Strong Ale",2019,"-122.7121 47.5436",47.5436,-122.7121,GABF
Bronze,"Last Will and Testament","Monday Night Brewing - Garage",Atlanta,GA,"Old Ale or Strong Ale",2019,"-84.4225 33.7627",33.7627,-84.4225,GABF
Gold,"Chronic Amber Ale","Pizza Port - Bressi Ranch",Carlsbad,CA,"Ordinary or Special Bitter",2019,"-117.2837 33.1247",33.1247,-117.2837,GABF
Silver,"Cousin Jack","Dostal Alley Brewpub & Casino","Central City",CO,"Ordinary or Special Bitter",2019,"-105.5151 39.7963",39.7963,-105.5151,GABF
Bronze,"Milford Pub Ale","River's Edge Brewing Co.",Milford,MI,"Ordinary or Special Bitter",2019,"-83.6012 42.587",42.587,-83.6012,GABF
Gold,"Very, Very Far","Off Color Brewing",Chicago,IL,"Other Belgian-Style Ale",2019,"-87.6862 41.8373",41.8373,-87.6862,GABF
Silver,"Conquer Then Divide","Barrage Brewing Co.",Farmingdale,NY,"Other Belgian-Style Ale",2019,"-73.4465 40.7328",40.7328,-73.4465,GABF
Bronze,Pentuple,"Hoppin' Frog Brewing",Akron,OH,"Other Belgian-Style Ale",2019,"-81.5219 41.0798",41.0798,-81.5219,GABF
Gold,"Northstar Imperial Porter","Twisted Pine Brewing Co.",Boulder,CO,"Other Strong Beer",2019,"-105.2523 40.0249",40.0249,-105.2523,GABF
Silver,"False Hope","Spilled Grain Brewhouse",Annandale,MN,"Other Strong Beer",2019,"-94.1206 45.2598",45.2598,-94.1206,GABF
Bronze,"Double Brown Ale","Tumbleroot Brewery and Distillery","Santa Fe",NM,"Other Strong Beer",2019,"-105.9819 35.6619",35.6619,-105.9819,GABF
Gold,Distemper,"IMBIB Custom Brews",Reno,NV,"Pro-Am Comp",2019,"-119.8483 39.5497",39.5497,-119.8483,GABF
Silver,Leicht,"Precarious Beer Project - Beer Hall",Williamsburg,VA,"Pro-Am Comp",2019,"-76.7076 37.2692",37.2692,-76.7076,GABF
Bronze,"Chess with Checkers","New Belgium Brewing Co.","Fort Collins",CO,"Pro-Am Comp",2019,"-105.0651 40.5475",40.5475,-105.0651,GABF
Gold,"Whole Hog Pumpkin Ale","Stevens Point Brewery","Stevens Point",WI,"Pumpkin/Squash Beer or Pumpkin Spice Beer",2019,"-89.5508 44.5241",44.5241,-89.5508,GABF
Silver,"Pumpkin Rumble","Mistress Brewing Co.",Ankeny,IA,"Pumpkin/Squash Beer or Pumpkin Spice Beer",2019,"-93.6034 41.7284",41.7284,-93.6034,GABF
Bronze,Pumpkinator,"Saint Arnold Brewing Co.",Houston,TX,"Pumpkin/Squash Beer or Pumpkin Spice Beer",2019,"-95.3905 29.7869",29.7869,-95.3905,GABF
Gold,"Tabula Rasa","Second Chance Beer Co.","San Diego",CA,"Robust Porter",2019,"-117.1225 32.8312",32.8312,-117.1225,GABF
Silver,"Powell Street Porter","Bartlett Hall","San Francisco",CA,"Robust Porter",2019,"-122.443 37.7562",37.7562,-122.443,GABF
Bronze,"Shadowcaster Porter","Folklore Brewing & Meadery",Dothan,AL,"Robust Porter",2019,"-85.4068 31.2335",31.2335,-85.4068,GABF
Gold,"Rye Dawn","Breakwater Brewing Co.",Oceanside,CA,"Rye Beer",2019,"-117.3083 33.2247",33.2247,-117.3083,GABF
Silver,"Unite the Clans","Third Space Brewing",Milwaukee,WI,"Rye Beer",2019,"-87.9673 43.0642",43.0642,-87.9673,GABF
Bronze,"Suss it Out","Level Crossing Brewing Co.","South Salt Lake",UT,"Rye Beer",2019,"-111.8986 40.7056",40.7056,-111.8986,GABF
Gold,"Knuckle Dragger","Dueces Wild Brewery","Colorado Springs",CO,"Scotch Ale",2019,"-104.7606 38.8674",38.8674,-104.7606,GABF
Silver,"Real Heavy","Real Ale Brewing Co.",Blanco,TX,"Scotch Ale",2019,"-98.4169 30.0987",30.0987,-98.4169,GABF
Bronze,"Wee Heavy Metal","Hutton & Smith Brewing Co. - M. L. King",Chattanooga,TN,"Scotch Ale",2019,"-85.2487 35.0657",35.0657,-85.2487,GABF
Gold,"Taildragger Clan-Destine","Saddle Mountain Brewing Co.",Goodyear,AZ,"Scottish-Style Ale",2019,"-112.3622 33.2614",33.2614,-112.3622,GABF
Silver,Yarmouth,"Arkane Aleworks",Largo,FL,"Scottish-Style Ale",2019,"-82.7712 27.9088",27.9088,-82.7712,GABF
