medal,beer,brewery,city,state,style,year,coords,lat,lng,comp
Bronze,"Overland White","Overland Stage Stop Brewery",Longmont,CO,"Belgian Style Specialty Ales",1996,"-105.0996 40.169",40.169,-105.0996,GABF
Gold,"Jack Frost Doppelbock","Saxer Brewing Co.","Lake Oswego",OR,Bock,1996,"-122.7003 45.4129",45.4129,-122.7003,GABF
Silver,"Stoudt's Honey Double Mai Bock","Stoudt's Brewing Co.",Adamstown,PA,Bock,1996,"-76.0608 40.2417",40.2417,-76.0608,GABF
Bronze,"Samuel Adams Double Bock","Boston Beer Co.",Boulder,CO,Bock,1996,"-105.2523 40.0249",40.0249,-105.2523,GABF
Gold,"Black Butte Porter","Deschutes Brewery (No 2)",Bend,OR,"Brown Porter",1996,"-121.3087 44.0562",44.0562,-121.3087,GABF
Silver,"Total Disorder Porter","C.B. & Potts/Big Horn Brewing",Seattle,WA,"Brown Porter",1996,"-122.3244 47.6211",47.6211,-122.3244,GABF
Bronze,"St. Charles Porter","Blackstone Restaurant",Nashville,TN,"Brown Porter",1996,"-86.7843 36.1715",36.1715,-86.7843,GABF
Silver,"Custer's Last Ale","Snake River Brewing Co.",Jackson,WY,"Classic English Style Pale Ale",1996,"-110.7745 43.4721",43.4721,-110.7745,GABF
Bronze,"Brickhouse Extra Pale Ale","SLO Brewing Co.","San Luis Obispo",CA,"Classic English Style Pale Ale",1996,"-120.6689 35.267",35.267,-120.6689,GABF
Gold,"Latrobe Bavarian Black","Latrobe Brewing Co.",Latrobe,PA,"Dark Lager",1996,"-79.3826 40.3125",40.3125,-79.3826,GABF
Silver,"Uffda Bock","New Glarus Brewing Co.","New Glarus",WI,"Dark Lager",1996,"-89.6337 42.813",42.813,-89.6337,GABF
Bronze,"Thomas Kemper Bohemian Dumkel","Thomas Kemper Brewery",Seattle,WA,"Dark Lager",1996,"-122.3244 47.6211",47.6211,-122.3244,GABF
Gold,"Skookum Stout","Captains City Brewery",Coupeville,WA,"Dry Stouts",1996,"-122.6775 48.2172",48.2172,-122.6775,GABF
Silver,"Mambe Stout","Mile High Brewing Co.",Denver,CO,"Dry Stouts",1996,"-104.8759 39.7621",39.7621,-104.8759,GABF
Bronze,"Heart Of Darkness XXX Stout","Twenty Tank Brewery","San Francisco",CA,"Dry Stouts",1996,"-122.443 37.7562",37.7562,-122.443,GABF
Gold,"Midlands Mild","Bradley's Restaurant",Clearlake,TX,"English Style Brown Ale",1996,,,,GABF
Silver,"Poppy Jasper Amber Ale","El Toro Brewing Co.","Morgan Hill",CA,"English Style Brown Ale",1996,"-121.641 37.1324",37.1324,-121.641,GABF
Bronze,"Golden Gate Nut Brown","Golden Pacific Brewing Co.",Berkeley,CA,"English Syle Brown Ale",1996,"-122.276 37.8723",37.8723,-122.276,GABF
Gold,"DeGroen's Pils","Baltimore Brewing Co.",Baltimore,MD,"European Style Pilsener",1996,"-76.6144 39.3051",39.3051,-76.6144,GABF
Silver,"Wild River Bohemian Pils","Southern Oregon And Pacific",Medford,OR,"European Style Pilsener",1996,"-122.8537 42.3372",42.3372,-122.8537,GABF
Bronze,"Pecks Pilsener","Great Dane Pub & Brewing Co. (The)",Madison,WI,"European Style Pilsener",1996,"-89.3923 43.0827",43.0827,-89.3923,GABF
Gold,"Belgian Red Wisconsin Cherry","New Glarus Brewing Co.","New Glarus",WI,"Fruit Beer",1996,"-89.6337 42.813",42.813,-89.6337,GABF
Bronze,"Wild Boar Honey Raspberry","Wild Boar Brewing Co.",Atlanta,GA,"Fruit Beer",1996,"-84.4225 33.7627",33.7627,-84.4225,GABF
Silver,"Cliffhanger Alt","Copper Tank Brewing Co.",Dallas,TX,"German Style Brown / Dusseldorf Style Altbier",1996,"-96.7662 32.7936",32.7936,-96.7662,GABF
Bronze,"Louisville Alt","Bluegrass Brewing Co.",Louisville,KY,"German Style Brown / Dusseldorf Style Altbier",1996,"-85.6485 38.1663",38.1663,-85.6485,GABF
Gold,"Heavenly Hefe Weizen","Heavenly Daze Brewery & Grill",Denver,CO,"German Style Wheat Ale",1996,"-104.8759 39.7621",39.7621,-104.8759,GABF
Silver,"Wixa Weiss","Wynkoop Brewing Co.",Denver,CO,"German Style Wheat Ale",1996,"-104.8759 39.7621",39.7621,-104.8759,GABF
Bronze,"Gudenteit Hefe Weizen","Mickey Finn's Brewery",Libertyville,IL,"German Style Wheat Ale",1996,"-87.967 42.287",42.287,-87.967,GABF
Gold,"Bacchanal Blonde","Angelic Brewing Co.",Madison,WI,"Golden Ale / Canadian Style Ale",1996,"-89.3923 43.0827",43.0827,-89.3923,GABF
Silver,"Alaskan Pale","Alaskan Brewing and Bottling Co.",Juneau,AK,"Golden Ale / Canadian Style Ale",1996,"-134.1739 58.4546",58.4546,-134.1739,GABF
Bronze,"Indpendence Gold","Independence Brewing Co.",Philadelphia,PA,"Golden Ale / Canadian Style Ale",1996,"-75.1339 40.0077",40.0077,-75.1339,GABF
Gold,"Bundaberg Ginger Beer","Bardo Rodeo",Arlington,VA,"Herb / Spice Beers",1996,"-77.1011 38.8786",38.8786,-77.1011,GABF
Silver,"Pancho Verde Chili","Rikenjaks Brewing Co. Inc",Albuquerque,NM,"Herb / Spice Beers",1996,"-106.6464 35.1053",35.1053,-106.6464,GABF
Bronze,"Belgian Wheat","Beartooth Brewing Co.",Cody,WY,"Herb / Spice Beers",1996,"-109.055 44.5212",44.5212,-109.055,GABF
Gold,"Ponderosa I.P.A.","Prescott Brewing Co.",Prescott,AZ,"India Pale Ale",1996,"-112.4475 34.585",34.585,-112.4475,GABF
Silver,"India Pale Ale","Blind Pig Brewing Co.",Temecula,CA,"India Pale Ale",1996,"-117.1315 33.4928",33.4928,-117.1315,GABF
Bronze,"India-Pendence Pale Ale","Pacific Brewing Co.","San Rafael",CA,"India Pale Ale",1996,"-122.5222 37.9904",37.9904,-122.5222,GABF
Bronze,Kolsch,"Water Street Brewery",Waltham,MA,Kolsch,1996,"-71.2423 42.3889",42.3889,-71.2423,GABF
Gold,"Independence Franklinfest","Independence Brewing Co.",Philadelphia,PA,"Marzen / Oktoberfeset",1996,"-75.1339 40.0077",40.0077,-75.1339,GABF
Silver,"Garten Brau Octoberfest","Capital Brewery Co. Inc",Middleton,WI,"Marzen / Oktoberfeset",1996,"-89.5058 43.1064",43.1064,-89.5058,GABF
Bronze,"Dominion Octoberfest","Old Dominion Brewing Co.",Ashburn,VA,"Marzen / Oktoberfeset",1996,"-77.4711 39.03",39.03,-77.4711,GABF
Gold,"Munich Gold","Brew Moon (No 2)",Golden,CO,"Munchener Helles And Export",1996,"-105.2118 39.7406",39.7406,-105.2118,GABF
Bronze,"Garten Brau Lager","Capital Brewery Co. Inc",Middleton,WI,"Munchener Helles And Export",1996,"-89.5058 43.1064",43.1064,-89.5058,GABF
Silver,"Hubsch Lager","Sudwerk Privatbrauerei Hubsch",Davis,CA,"Munchner Helles And Export",1996,"-121.7365 38.5552",38.5552,-121.7365,GABF
Gold,"Kingsbury Red NA","G. Heileman Brewing Co.","San Antonio",TX,"Non Alcoholic Malt Beverages",1996,"-98.5254 29.4658",29.4658,-98.5254,GABF
Silver,O'Doul's,"Anheuser-Busch, Inc","Saint Louis",MO,"Non Alcoholic Malt Beverages",1996,,,,GABF
Gold,"Makanudo Porter","Cervecerias La Cruda","San Diego",CA,"Robust Porter",1996,"-117.1225 32.8312",32.8312,-117.1225,GABF
Silver,"O Henry's Porter","Waterloo Brewing Co.",Austin,TX,"Robust Porter",1996,"-97.7517 30.3006",30.3006,-97.7517,GABF
Bronze,"Deep Enders Dark Porter","Anderson Valley Brewing Co.",Boonville,CA,"Robust Porter",1996,"-123.374 39.0115",39.0115,-123.374,GABF
Gold,"Scotch Ale","Yegua Creek Brewing Co.","San Antonio",TX,"Scottish Style Ale",1996,"-98.5254 29.4658",29.4658,-98.5254,GABF
Silver,"Laughing Lab Scottish Ale","Bristol Brewing Co.","Colorado Springs",CO,"Scottish Style Ale",1996,"-104.7606 38.8674",38.8674,-104.7606,GABF
Bronze,"Arapahoe Amber Ale","Great Divide Brewing Co.",Denver,CO,"Scottish Style Ale",1996,"-104.8759 39.7621",39.7621,-104.8759,GABF
Gold,Smoke,"Rogue Ales",Newport,OR,"Smoke Flavored Beers",1996,"-124.0524 44.6231",44.6231,-124.0524,GABF
Silver,"Alaskan Smoked Porter","Alaskan Brewing and Bottling Co.",Juneau,AK,"Smoke Flavored Beers",1996,"-134.1739 58.4546",58.4546,-134.1739,GABF
Bronze,"VBC Smoked Beer","Virginia Beverage Co.",Alexandria,VA,"Smoke Flavored Beers",1996,"-77.0861 38.8185",38.8185,-77.0861,GABF
Gold,Powderfinger,"Big Time Brewing Co.",Seattle,WA,Specialty,1996,"-122.3244 47.6211",47.6211,-122.3244,GABF
Silver,"Naked Aspen Honey Wheat","Aspen Beer Co.",Littleton,CO,Specialty,1996,"-105.0188 39.5915",39.5915,-105.0188,GABF
Bronze,"Maple Nut Brown Ale","Tommyknocker Brewery","Idaho Springs",CO,Specialty,1996,"-105.5 39.7445",39.7445,-105.5,GABF
Gold,"Kinnikinich Old Scout Stout","Twenty Tank Brewery","San Francisco",CA,"Specialty Stouts",1996,"-122.443 37.7562",37.7562,-122.443,GABF
Silver,"Rodeo Stout","Idle Spur","Crested Butte",CO,"Specialty Stouts",1996,"-106.9772 38.8676",38.8676,-106.9772,GABF
Bronze,"Holy Cow! Stout","Holy Cow!","Las Vegas",NV,"Specialty Stouts",1996,"-115.2654 36.2333",36.2333,-115.2654,GABF
Gold,"Imperial Stout","Valley Forge Brewing Co.",Wayne,PA,"Strong Ale",1996,,,,GABF
Silver,"Jeremiah Red","Chicago Pizza/BJ's Brewery",Chandler,AZ,"Strong Ale",1996,"-111.8517 33.2827",33.2827,-111.8517,GABF
Bronze,"Auld Lang Syne Holiday Ale","Coast Range Brewing Co.",Gilroy,CA,"Strong Ale",1996,"-121.5856 37.0047",37.0047,-121.5856,GABF
Gold,"English Extra Special Bitter","Blind Pig Brewing Co.",Temecula,CA,"Traditional English Style Bitter",1996,"-117.1315 33.4928",33.4928,-117.1315,GABF
Silver,"Jackson's ESB","Snake River Brewing Co.",Jackson,WY,"Traditional English Style Bitter",1996,"-110.7745 43.4721",43.4721,-110.7745,GABF
Bronze,"Belk's Extra Special Bitter","Anderson Valley Brewing Co.",Boonville,CA,"Traditional English Style Bitter",1996,"-123.374 39.0115",39.0115,-123.374,GABF
Gold,"Expedition Stout","Bell's Brewery",Galesburg,MI,"Aged Beer",2011,"-85.4182 42.2911",42.2911,-85.4182,GABF
Silver,"Release the Hounds","Bull & Bush Brewery",Denver,CO,"Aged Beer",2011,"-104.8759 39.7621",39.7621,-104.8759,GABF
Bronze,"2004 Triple Exultation","Eel River Brewing Co.",Fortuna,CA,"Aged Beer",2011,"-124.1424 40.586",40.586,-124.1424,GABF
Gold,"Angry Birds","Haymarket Pub & Brewery",Chicago,IL,"American-Belgo-Style Ale",2011,"-87.6862 41.8373",41.8373,-87.6862,GABF
Silver,"Blue Reserve","Blue Mountain Brewery",Afton,VA,"American-Belgo-Style Ale",2011,,,,GABF
Bronze,"Boulevard Collaboration #2","Boulevard Brewing Co.","Kansas City",MO,"American-Belgo-Style Ale",2011,"-94.5541 39.1239",39.1239,-94.5541,GABF
Gold,Uberbrau,"Humperdink's Restaurant and Brewery",Dallas,TX,"American-Style Amber Lager",2011,"-96.7662 32.7936",32.7936,-96.7662,GABF
Silver,"Colorado Native","AC Golden Brewing Co.",Golden,CO,"American-Style Amber Lager",2011,"-105.2118 39.7406",39.7406,-105.2118,GABF
Bronze,"Florida Beer Florida Lager","Florida Beer Co.",Melbourne,FL,"American-Style Amber Lager",2011,"-80.6627 28.1085",28.1085,-80.6627,GABF
Gold,"Amber Waves","21st Amendment Brewery","San Francisco",CA,"American-Style Amber/Red Ale",2011,"-122.443 37.7562",37.7562,-122.443,GABF
Silver,"Jamaica Red Ale","Mad River Brewing Co.","Blue Lake",CA,"American-Style Amber/Red Ale",2011,"-123.9931 40.8813",40.8813,-123.9931,GABF
Bronze,"Rocket Red","Big River Grille and Brewing","(Disney Boardwalk, FL) Chattanooga",TN,"American-Style Amber/Red Ale",2011,,,,GABF
Gold,"Blacktop IPA","New Glarus Brewing Co.","New Glarus",WI,"American-Style Black Ale",2011,"-89.6337 42.813",42.813,-89.6337,GABF
Silver,"Blackened CDA","Carter's Brewing",Billings,MT,"American-Style Black Ale",2011,"-108.5509 45.7889",45.7889,-108.5509,GABF
Bronze,"Black Racer","Bear Republic Brewing Co.",Healdsburg,CA,"American-Style Black Ale",2011,"-122.8651 38.6229",38.6229,-122.8651,GABF
Gold,Confluence,"Allagash Brewing Co.",Portland,ME,"American-Style Brett Ale",2011,"-70.2715 43.6773",43.6773,-70.2715,GABF
Silver,"Super Friends IPA","Ithaca Beer Co.",Ithaca,NY,"American-Style Brett Ale",2011,"-76.5032 42.4442",42.4442,-76.5032,GABF
Bronze,"Grimalkin - Super Kitty Fantastico","Brugge Brasserie",Indianapolis,IN,"American-Style Brett Ale",2011,"-86.1458 39.7771",39.7771,-86.1458,GABF
Gold,"Great American Brown","Pizza Port Carlsbad",Carlsbad,CA,"American-Style Brown Ale",2011,"-117.2837 33.1247",33.1247,-117.2837,GABF
Silver,"Redrock Nut Brown Ale","Redrock Brewing Co.","Salt Lake City",UT,"American-Style Brown Ale",2011,"-111.93 40.7774",40.7774,-111.93,GABF
Bronze,"Brave American","American Brewing Co.",Edmonds,WA,"American-Style Brown Ale",2011,"-122.3533 47.8114",47.8114,-122.3533,GABF
Gold,"Durango Dark","Durango Brewing Co.",Durango,CO,"American-Style Dark Lager",2011,"-107.8703 37.2744",37.2744,-107.8703,GABF
Silver,"Session Black","Full Sail Brewing Co.","Hood River",OR,"American-Style Dark Lager",2011,"-121.5258 45.7092",45.7092,-121.5258,GABF
Bronze,Schwarzbier,"AC Golden Brewing Co.",Golden,CO,"American-Style Dark Lager",2011,"-105.2118 39.7406",39.7406,-105.2118,GABF
Gold,"Elevated IPA","La Cumbre Brewing Co.",Albuquerque,NM,"American-Style India Pale Ale",2011,"-106.6464 35.1053",35.1053,-106.6464,GABF
Silver,"Deviant Dale's","Oskar Blues Brewery",Longmont,CO,"American-Style India Pale Ale",2011,"-105.0996 40.169",40.169,-105.0996,GABF
Bronze,"Head Hunter IPA","Fat Head's Brewery","North Olmsted",OH,"American-Style India Pale Ale",2011,"-81.919 41.415",41.415,-81.919,GABF
Gold,"Old Milwaukee Light","Pabst Brewing Co.",Woodridge,IL,"American-Style Lager, Light Lager or Premium Lager",2011,"-88.0408 41.7368",41.7368,-88.0408,GABF
Silver,"Busch Light",Anheuser-Busch,"St. Louis",MO,"American-Style Lager, Light Lager or Premium Lager",2011,"-90.2451 38.6358",38.6358,-90.2451,GABF
Bronze,"Pabst Blue Ribbon Light","Pabst Brewing Co.",Woodridge,IL,"American-Style Lager, Light Lager or Premium Lager",2011,"-88.0408 41.7368",41.7368,-88.0408,GABF
Gold,BEER,"La Cumbre Brewing Co.",Albuquerque,NM,"American-Style or International-Style Pilsener",2011,"-106.6464 35.1053",35.1053,-106.6464,GABF
Silver,"Popcorn Pilsner","Sun King Brewing Co.",Indianapolis,IN,"American-Style or International-Style Pilsener",2011,"-86.1458 39.7771",39.7771,-86.1458,GABF
Bronze,"Legacy Lager","Silver Moon Brewing",Bend,OR,"American-Style or International-Style Pilsener",2011,"-121.3087 44.0562",44.0562,-121.3087,GABF
Gold,"Pale 31","Firestone Walker Brewing Co.","Paso Robles",CA,"American-Style Pale Ale",2011,,,,GABF
Silver,"Mission St. Pale","Firestone Walker Brewing Co.","Paso Robles",CA,"American-Style Pale Ale",2011,,,,GABF
Bronze,"Ute Trail Pale Ale",Amicas,Salida,CO,"American-Style Pale Ale",2011,"-105.9984 38.53",38.53,-105.9984,GABF
Gold,"Le Terroir","New Belgium Brewing Co.","Fort Collins",CO,"American-Style Sour Ale",2011,"-105.0651 40.5475",40.5475,-105.0651,GABF
Silver,"Framboise de Amorosa","The Lost Abbey","San Marcos",CA,"American-Style Sour Ale",2011,"-117.1743 33.135",33.135,-117.1743,GABF
Bronze,"Ching Ching","Bend Brewing Co.",Bend,OR,"American-Style Sour Ale",2011,"-121.3087 44.0562",44.0562,-121.3087,GABF
Gold,"Red Dog","Miller Brewing Co.",Milwaukee,WI,"American-Style Specialty Lager or Cream Ale or Lager",2011,"-87.9673 43.0642",43.0642,-87.9673,GABF
Silver,Rainier,"Pabst Brewing Co.",Woodridge,IL,"American-Style Specialty Lager or Cream Ale or Lager",2011,"-88.0408 41.7368",41.7368,-88.0408,GABF
Bronze,"Old Style","Pabst Brewing Co.",Woodridge,IL,"American-Style Specialty Lager or Cream Ale or Lager",2011,"-88.0408 41.7368",41.7368,-88.0408,GABF
Gold,"Jules Winnfield","Pizza Port Solana Beach","Solana Beach",CA,"American-Style Stout",2011,"-117.2575 32.9942",32.9942,-117.2575,GABF
Silver,"Achievement Beyond Life's Experiences American Stout, Brit Antrim Benefit Beer","Pizza Port Ocean Beach","San Diego",CA,"American-Style Stout",2011,"-117.1225 32.8312",32.8312,-117.1225,GABF
Bronze,"Disorder Stout","Barley Brown's Brew Pub","Baker City",OR,"American-Style Stout",2011,"-117.832 44.7749",44.7749,-117.832,GABF
Gold,"Pako's Eye P.A.","Snake River Brewing",Jackson,WY,"American-Style Strong Pale Ale",2011,"-110.7745 43.4721",43.4721,-110.7745,GABF
Silver,"AleSmith IPA","AleSmith Brewing Co.","San Diego",CA,"American-Style Strong Pale Ale",2011,"-117.1225 32.8312",32.8312,-117.1225,GABF
Bronze,"Hop Knot","Four Peaks Brewing Co.",Tempe,AZ,"American-Style Strong Pale Ale",2011,"-111.9318 33.3881",33.3881,-111.9318,GABF
Gold,SchWheat,"SweetWater Brewing Co.",Atlanta,GA,"American-Style Wheat Beer",2011,"-84.4225 33.7627",33.7627,-84.4225,GABF
Silver,"Shredders Wheat","Barley Brown's Brew Pub","Baker City",OR,"American-Style Wheat Beer",2011,"-117.832 44.7749",44.7749,-117.832,GABF
Bronze,"Wagon Box Wheat","Black Tooth Brewing Co.",Sheridan,WY,"American-Style Wheat Beer",2011,"-106.9643 44.7962",44.7962,-106.9643,GABF
Gold,"Leavenworth Boulder Bend Dunkelweizen","Fish Brewing Co.",Olympia,WA,"American-Style Wheat Beer With Yeast",2011,"-122.8959 47.0417",47.0417,-122.8959,GABF
Silver,Tumblewheat,"Altitude Chophouse and Brewery",Laramie,WY,"American-Style Wheat Beer With Yeast",2011,"-105.6085 41.3099",41.3099,-105.6085,GABF
Bronze,"Leavenworth Whistling Pig Hefeweizen","Fish Brewing Co.",Olympia,WA,"American-Style Wheat Beer With Yeast",2011,"-122.8959 47.0417",47.0417,-122.8959,GABF
Gold,"Battle Axe Baltic Porter","Fat Head's Brewery","North Olmsted",OH,"Baltic-Style Porter",2011,"-81.919 41.415",41.415,-81.919,GABF
Silver,"White Eagle Baltic Porter","Montana Brewing Co.",Billings,MT,"Baltic-Style Porter",2011,"-108.5509 45.7889",45.7889,-108.5509,GABF
Bronze,"Puddy Porter","Triple Rock Brewery and Alehouse",Berkeley,CA,"Baltic-Style Porter",2011,"-122.276 37.8723",37.8723,-122.276,GABF
Gold,"Horn Dog Barleywine","Flying Dog Brewery",Frederick,MD,"Barley Wine-Style Ale",2011,"-77.4157 39.4336",39.4336,-77.4157,GABF
Silver,"AleSmith Old Numbskull","AleSmith Brewing Co.","San Diego",CA,"Barley Wine-Style Ale",2011,"-117.1225 32.8312",32.8312,-117.1225,GABF
Bronze,"Johan the Barleywine","Sun King Brewing Co.",Indianapolis,IN,"Barley Wine-Style Ale",2011,"-86.1458 39.7771",39.7771,-86.1458,GABF
Gold,"California Ale","Telegraph Brewing Co.","Santa Barbara",CA,"Belgian- and French-Style Ale",2011,"-119.7202 34.4285",34.4285,-119.7202,GABF
Silver,"TAPS Biere de Garde","TAPS Fish House & Brewery","(Corona, CA) Brea",CA,"Belgian- and French-Style Ale",2011,,,,GABF
Bronze,"Pin-Up Blonde","Bastone Brewery","Royal Oak",MI,"Belgian- and French-Style Ale",2011,"-83.1539 42.5084",42.5084,-83.1539,GABF
Gold,"Brother David's Double","Anderson Valley Brewing Co.",Boonville,CA,"Belgian-Style Abbey Ale",2011,"-123.374 39.0115",39.0115,-123.374,GABF
Silver,"Wild-Westmalle Tripel","Chicago Brewing Co.","Las Vegas",NV,"Belgian-Style Abbey Ale",2011,"-115.2654 36.2333",36.2333,-115.2654,GABF
Bronze,"Two Tortugas","Karl Strauss Brewing Co.","San Diego",CA,"Belgian-Style Abbey Ale",2011,"-117.1225 32.8312",32.8312,-117.1225,GABF
Gold,"Fifth Element 2008","Squatters Pub Brewery","Salt Lake City",UT,"Belgian-Style Lambic or Sour Ale",2011,"-111.93 40.7774",40.7774,-111.93,GABF
Silver,"Blue Sunday","New Holland Brewing Co.",Holland,MI,"Belgian-Style Lambic or Sour Ale",2011,"-86.0984 42.7677",42.7677,-86.0984,GABF
Bronze,"Barton Kriek","North by Northwest",Austin,TX,"Belgian-Style Lambic or Sour Ale",2011,"-97.7517 30.3006",30.3006,-97.7517,GABF
Gold,"Buffalo Slumber","Sun King Brewing Co.",Indianapolis,IN,"Belgian-Style Strong Specialty Ale",2011,"-86.1458 39.7771",39.7771,-86.1458,GABF
Silver,Revelations,"Pizza Port Carlsbad",Carlsbad,CA,"Belgian-Style Strong Specialty Ale",2011,"-117.2837 33.1247",33.1247,-117.2837,GABF
Bronze,"The Twelve","Black Diamond Brewing Co.",Concord,CA,"Belgian-Style Strong Specialty Ale",2011,"-122.0016 37.9722",37.9722,-122.0016,GABF
Gold,Witte,"Brewery Ommegang",Cooperstown,NY,"Belgian-Style Witbier",2011,"-74.93 42.6996",42.6996,-74.93,GABF
Silver,"La Perouse White","Maui Brewing Co. - Brewpub",Maui,HI,"Belgian-Style Witbier",2011,,,,GABF
Bronze,ZON,"Boulevard Brewing Co.","Kansas City",MO,"Belgian-Style Witbier",2011,"-94.5541 39.1239",39.1239,-94.5541,GABF
Gold,Troegenator,"Tröegs Brewing Co.",Harrisburg,PA,Bock,2011,"-76.8843 40.2752",40.2752,-76.8843,GABF
Silver,"PrePro Bock","Coors Archive Brewery",Golden,CO,Bock,2011,"-105.2118 39.7406",39.7406,-105.2118,GABF
Bronze,Maibock,"Stewart's Brewing Co.",Bear,DE,Bock,2011,"-75.6804 39.6188",39.6188,-75.6804,GABF
Silver,"Mama's Little Yella Pils","Oskar Blues Brewery",Longmont,CO,"Bohemian-Style Pilsener",2011,"-105.0996 40.169",40.169,-105.0996,GABF
Bronze,Pilsner,"McCoy's Public House and Brewkitchen","Kansas City",MO,"Bohemian-Style Pilsener",2011,"-94.5541 39.1239",39.1239,-94.5541,GABF
Gold,"Out of Order Porter","Wind River Brewing Co.",Pinedale,WY,"Brown Porter",2011,"-109.8707 42.8676",42.8676,-109.8707,GABF
Silver,"FireHouse Porter","FireHouse Grill & Brewery",Sunnyvale,CA,"Brown Porter",2011,"-122.0257 37.3836",37.3836,-122.0257,GABF
Bronze,Porter,"Lexington Avenue Brewery",Asheville,NC,"Brown Porter",2011,"-82.5537 35.5704",35.5704,-82.5537,GABF
Gold,"Chocolate Beer","Barley Brothers Brewery and Grill","Lake Havasu City",AZ,"Chocolate Beer",2011,"-114.3113 34.5006",34.5006,-114.3113,GABF
Silver,"Samuel Adams Chocolate Chili Bock","Boston Beer Co.",Boston,MA,"Chocolate Beer",2011,"-71.0846 42.3188",42.3188,-71.0846,GABF
Bronze,"Samuel Adams Chocolate Bock","Boston Beer Co.",Boston,MA,"Chocolate Beer",2011,"-71.0846 42.3188",42.3188,-71.0846,GABF
Gold,"Clear Creek Pale Ale","Silver City Brewery",Bremerton,WA,"Classic English-Style Pale Ale",2011,"-122.7121 47.5436",47.5436,-122.7121,GABF
Silver,"MacTarnahan's Amber Ale","MacTarnahan's Brewing Co.",Portland,OR,"Classic English-Style Pale Ale",2011,"-122.65 45.5371",45.5371,-122.65,GABF
Bronze,"Prime Time Pale Ale","Big Time Brewery",Seattle,WA,"Classic English-Style Pale Ale",2011,"-122.3244 47.6211",47.6211,-122.3244,GABF
Gold,"Ring of Dingle","Sun King Brewing Co.",Indianapolis,IN,"Classic Irish-Style Dry Stout",2011,"-86.1458 39.7771",39.7771,-86.1458,GABF
Silver,"Breakside Dry Stout","Breakside Brewery",Portland,OR,"Classic Irish-Style Dry Stout",2011,"-122.65 45.5371",45.5371,-122.65,GABF
Bronze,"Shaft House Stout","Dostal Alley Brewpub & Casino","Central City",CO,"Classic Irish-Style Dry Stout",2011,"-105.5151 39.7963",39.7963,-105.5151,GABF
Gold,"Java Mac","Sun King Brewing Co.",Indianapolis,IN,"Coffee Beer",2011,"-86.1458 39.7771",39.7771,-86.1458,GABF
Silver,"Coffee Monster","Pizza Port Carlsbad",Carlsbad,CA,"Coffee Beer",2011,"-117.2837 33.1247",33.1247,-117.2837,GABF
Bronze,"Coffee Milk Stout","Dry Dock Brewing Co.",Aurora,CO,"Coffee Beer",2011,"-104.7274 39.7084",39.7084,-104.7274,GABF
Gold,"Move Back","The SandLot",Denver,CO,"Dortmunder or German-Style Oktoberfest",2011,"-104.8759 39.7621",39.7621,-104.8759,GABF
Silver,"Tommy Two Fists","Devils Backbone Brewing Co.",Roseland,VA,"Dortmunder or German-Style Oktoberfest",2011,,,,GABF
Bronze,"Dog Days Lager","Two Brothers Brewing Co.",Warrenville,IL,"Dortmunder or German-Style Oktoberfest",2011,"-88.1857 41.821",41.821,-88.1857,GABF
Gold,"Good Grief Brown","Pizza Port Carlsbad",Carlsbad,CA,"English-Style Brown Ale",2011,"-117.2837 33.1247",33.1247,-117.2837,GABF
Silver,"Rock Bottom Brown Ale","Rock Bottom Brewery","(San Diego, CA) Louisville",CO,"English-Style Brown Ale",2011,,,,GABF
Bronze,"Molly's Titanic Brown","Rock Bottom Brewery","(Westminster, CO) Louisville",CO,"English-Style Brown Ale",2011,,,,GABF
Gold,"Samuel Adams Latitude 48 Hallertau Mittelfrueh","Boston Beer Co.",Boston,MA,"English-Style India Pale Ale",2011,"-71.0846 42.3188",42.3188,-71.0846,GABF
Silver,"Napa Smith Organic IPA","Napa Smith Brewery",Napa,CA,"English-Style India Pale Ale",2011,"-122.3011 38.2976",38.2976,-122.3011,GABF
Bronze,"Down 'n' Dirty IPA","Deschutes Brewery",Bend,OR,"English-Style India Pale Ale",2011,"-121.3087 44.0562",44.0562,-121.3087,GABF
Gold,"Skidmark Brown Ale","Pizza Port Ocean Beach","San Diego",CA,"English-Style Mild Ale",2011,"-117.1225 32.8312",32.8312,-117.1225,GABF
Silver,"Dawn Patrol Dark","Pizza Port Solana Beach","Solana Beach",CA,"English-Style Mild Ale",2011,"-117.2575 32.9942",32.9942,-117.2575,GABF
Bronze,"Bird and Baby Mild","The Public House Brewing Co.",Rolla,MO,"English-Style Mild Ale",2011,"-91.7608 37.9458",37.9458,-91.7608,GABF
Gold,"Summer Lovin'","Blue Mountain Brewery",Afton,VA,"English-Style Summer Ale",2011,,,,GABF
Silver,Peacemaker,"Austin Beerworks",Austin,TX,"English-Style Summer Ale",2011,"-97.7517 30.3006",30.3006,-97.7517,GABF
Bronze,"Mad Fox Brewing Company English Summer Ale","Mad Fox Brewing Co.","Falls Church",VA,"English-Style Summer Ale",2011,"-77.1751 38.8847",38.8847,-77.1751,GABF
Gold,"Dunkel Lager","Glenwood Canyon Brewing Co.","Glenwood Springs",CO,"European-Style Dunkel",2011,"-107.3347 39.5455",39.5455,-107.3347,GABF
Silver,"Chuckanut Dunkel","Chuckanut Brewery",Bellingham,WA,"European-Style Dunkel",2011,"-122.4687 48.7543",48.7543,-122.4687,GABF
